"start_time","rest","light","moderate","vigorous"
"0",57,1,2,0
"0",60,0,0,0
"0",52,1,7,0
"0",60,0,0,0
"0",60,0,0,0
"0",60,0,0,0
"0",60,0,0,0
"1",59,0,1,0
"1",60,0,0,0
"1",56,1,3,0
"1",60,0,0,0
"1",60,0,0,0
"1",60,0,0,0
"1",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"5",58,0,1,1
"5",55,1,3,1
"5",59,0,0,1
"5",60,0,0,0
"5",58,0,1,1
"5",58,0,1,1
"5",55,1,3,1
"6",54,2,4,0
"6",48,4,8,0
"6",54,1,5,0
"6",59,0,1,0
"6",53,2,5,0
"6",54,1,5,0
"6",48,4,7,1
"7",52,2,6,0
"7",42,3,14,1
"7",50,2,7,1
"7",55,1,3,1
"7",47,4,8,1
"7",49,3,7,1
"7",45,6,8,1
"8",49,4,6,1
"8",44,3,12,1
"8",49,2,8,1
"8",41,4,14,1
"8",44,3,11,2
"8",47,4,9,0
"8",42,7,10,1
"9",44,3,12,1
"9",32,7,18,3
"9",46,3,10,1
"9",42,3,11,4
"9",38,6,13,3
"9",43,4,12,1
"9",34,6,18,2
"10",38,3,16,3
"10",30,6,20,4
"10",44,1,8,7
"10",42,3,14,1
"10",38,2,12,8
"10",38,3,14,5
"10",24,5,23,8
"11",37,4,17,2
"11",26,4,24,6
"11",40,3,12,5
"11",41,6,13,0
"11",31,2,18,9
"11",37,4,17,2
"11",30,5,19,6
"12",40,5,14,1
"12",31,6,20,3
"12",41,5,13,1
"12",32,4,22,2
"12",37,4,15,4
"12",41,6,12,1
"12",29,9,19,3
"13",39,6,14,1
"13",27,8,19,6
"13",38,6,15,1
"13",35,3,21,1
"13",42,5,12,1
"13",42,4,13,1
"13",27,9,22,2
"14",34,6,18,2
"14",34,7,17,2
"14",36,6,16,2
"14",39,3,17,1
"14",44,3,11,2
"14",42,4,14,0
"14",31,8,19,2
"15",34,5,20,1
"15",28,6,23,3
"15",36,2,17,5
"15",32,5,23,0
"15",36,3,18,3
"15",37,4,17,2
"15",32,6,20,2
"16",37,6,15,2
"16",25,5,25,5
"16",37,5,15,3
"16",40,6,14,0
"16",36,4,18,2
"16",44,4,10,2
"16",38,7,14,1
"17",40,5,13,2
"17",29,4,21,6
"17",39,4,14,3
"17",36,7,16,1
"17",42,3,13,2
"17",46,2,10,2
"17",29,8,21,2
"18",43,4,11,2
"18",36,7,16,1
"18",45,2,11,2
"18",41,3,15,1
"18",45,4,11,0
"18",47,3,9,1
"18",42,7,11,0
"19",44,4,11,1
"19",42,6,12,0
"19",42,3,13,2
"19",51,3,6,0
"19",49,4,7,0
"19",50,2,7,1
"19",46,4,9,1
"20",44,4,11,1
"20",48,4,8,0
"20",43,4,12,1
"20",54,1,4,1
"20",54,1,4,1
"20",54,2,4,0
"20",44,4,11,1
"21",48,3,8,1
"21",47,4,9,0
"21",39,4,15,2
"21",56,1,3,0
"21",50,2,8,0
"21",55,1,4,0
"21",52,3,5,0
"22",48,4,7,1
"22",58,1,1,0
"22",47,3,9,1
"22",59,0,1,0
"22",59,0,0,1
"22",58,1,1,0
"22",54,2,4,0
"23",54,1,4,1
"23",60,0,0,0
"23",51,2,7,0
"23",60,0,0,0
"23",60,0,0,0
"23",60,0,0,0
"23",55,2,3,0
