"start_time","rest","light","moderate","vigorous"
"0",57,0,2,1
"0",59,1,0,0
"0",49,4,6,1
"0",60,0,0,0
"0",60,0,0,0
"0",59,0,0,1
"0",60,0,0,0
"1",60,0,0,0
"1",60,0,0,0
"1",60,0,0,0
"1",60,0,0,0
"1",60,0,0,0
"1",60,0,0,0
"1",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",59,0,0,1
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"5",60,0,0,0
"5",60,0,0,0
"5",60,0,0,0
"5",60,0,0,0
"5",60,0,0,0
"5",60,0,0,0
"5",60,0,0,0
"6",59,0,0,1
"6",59,0,1,0
"6",60,0,0,0
"6",60,0,0,0
"6",60,0,0,0
"6",60,0,0,0
"6",60,0,0,0
"7",59,0,0,1
"7",50,4,6,0
"7",57,1,2,0
"7",60,0,0,0
"7",58,0,1,1
"7",57,2,1,0
"7",60,0,0,0
"8",57,0,2,1
"8",52,3,4,1
"8",54,0,6,0
"8",57,2,1,0
"8",60,0,0,0
"8",58,1,1,0
"8",56,3,1,0
"9",55,1,4,0
"9",42,6,10,2
"9",48,4,8,0
"9",52,2,6,0
"9",50,4,6,0
"9",50,3,6,1
"9",58,1,1,0
"10",53,2,4,1
"10",50,5,4,1
"10",42,3,14,1
"10",50,3,7,0
"10",53,1,5,1
"10",49,5,5,1
"10",57,1,2,0
"11",50,2,7,1
"11",42,7,10,1
"11",43,3,13,1
"11",39,4,17,0
"11",51,3,5,1
"11",39,3,18,0
"11",56,1,2,1
"12",44,4,11,1
"12",39,7,10,4
"12",38,6,14,2
"12",39,6,14,1
"12",47,2,11,0
"12",34,7,18,1
"12",52,2,5,1
"13",44,4,11,1
"13",35,6,13,6
"13",41,3,14,2
"13",36,11,13,0
"13",54,2,4,0
"13",40,6,13,1
"13",43,8,8,1
"14",45,4,9,2
"14",44,4,9,3
"14",30,6,24,0
"14",46,7,7,0
"14",44,4,11,1
"14",44,5,11,0
"14",43,3,13,1
"15",42,6,11,1
"15",37,2,15,6
"15",47,2,10,1
"15",37,10,13,0
"15",43,4,10,3
"15",45,5,9,1
"15",36,5,19,0
"16",44,4,12,0
"16",43,4,9,4
"16",32,3,23,2
"16",51,3,5,1
"16",40,1,15,4
"16",40,4,14,2
"16",39,8,12,1
"17",44,4,11,1
"17",50,4,6,0
"17",34,4,20,2
"17",40,7,13,0
"17",42,2,14,2
"17",40,5,15,0
"17",46,1,11,2
"18",44,5,11,0
"18",39,6,15,0
"18",29,2,20,9
"18",30,8,22,0
"18",38,10,9,3
"18",49,3,8,0
"18",50,2,7,1
"19",41,5,14,0
"19",49,3,7,1
"19",35,7,15,3
"19",50,3,6,1
"19",43,4,10,3
"19",46,4,9,1
"19",51,3,5,1
"20",46,5,8,1
"20",43,6,11,0
"20",17,3,28,12
"20",35,8,16,1
"20",48,4,7,1
"20",54,1,3,2
"20",56,1,3,0
"21",45,4,10,1
"21",54,2,3,1
"21",22,3,33,2
"21",44,5,9,2
"21",49,1,8,2
"21",52,1,5,2
"21",56,1,2,1
"22",51,3,5,1
"22",53,1,5,1
"22",35,3,19,3
"22",49,4,7,0
"22",57,0,3,0
"22",57,2,1,0
"22",57,2,1,0
"23",56,2,2,0
"23",56,0,3,1
"23",40,3,15,2
"23",59,0,1,0
"23",60,0,0,0
"23",58,1,1,0
"23",56,1,2,1
