"start_time","rest","light","moderate","vigorous"
"0",58,0,1,1
"0",60,0,0,0
"0",55,0,4,1
"0",57,1,1,1
"0",60,0,0,0
"0",52,3,5,0
"0",58,1,1,0
"1",60,0,0,0
"1",60,0,0,0
"1",60,0,0,0
"1",60,0,0,0
"1",59,0,0,1
"1",60,0,0,0
"1",59,0,0,1
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"2",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"3",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"4",60,0,0,0
"5",52,3,4,1
"5",48,4,7,1
"5",54,1,4,1
"5",59,0,0,1
"5",59,0,1,0
"5",56,2,1,1
"5",52,3,4,1
"6",47,6,7,0
"6",45,6,9,0
"6",54,3,3,0
"6",48,4,8,0
"6",55,2,3,0
"6",39,7,13,1
"6",44,6,9,1
"7",46,6,7,1
"7",44,5,10,1
"7",51,2,7,0
"7",45,6,8,1
"7",54,2,4,0
"7",40,7,12,1
"7",41,6,12,1
"8",49,5,6,0
"8",44,6,9,1
"8",51,3,5,1
"8",44,6,10,0
"8",52,3,4,1
"8",37,8,14,1
"8",44,6,9,1
"9",43,7,9,1
"9",34,8,17,1
"9",46,5,8,1
"9",47,5,8,0
"9",48,4,7,1
"9",35,5,18,2
"9",35,9,15,1
"10",37,5,14,4
"10",39,6,12,3
"10",39,4,13,4
"10",32,9,15,4
"10",47,5,7,1
"10",33,7,16,4
"10",30,7,18,5
"11",36,7,14,3
"11",28,8,20,4
"11",36,6,16,2
"11",38,6,13,3
"11",38,8,13,1
"11",32,7,18,3
"11",32,7,18,3
"12",35,7,17,1
"12",32,6,19,3
"12",37,6,16,1
"12",36,7,17,0
"12",33,10,17,0
"12",34,6,19,1
"12",31,9,19,1
"13",31,9,19,1
"13",30,8,21,1
"13",28,10,21,1
"13",26,8,24,2
"13",29,8,18,5
"13",25,11,23,1
"13",29,8,22,1
"14",28,8,23,1
"14",26,9,22,3
"14",27,7,24,2
"14",32,6,19,3
"14",31,9,19,1
"14",26,8,24,2
"14",28,6,24,2
"15",36,7,17,0
"15",35,8,15,2
"15",29,7,23,1
"15",34,8,18,0
"15",32,7,20,1
"15",28,10,21,1
"15",31,8,20,1
"16",36,8,15,1
"16",39,7,13,1
"16",37,5,16,2
"16",36,6,16,2
"16",38,9,12,1
"16",35,8,16,1
"16",30,7,21,2
"17",37,7,15,1
"17",37,7,15,1
"17",43,5,11,1
"17",36,10,13,1
"17",38,8,14,0
"17",38,6,15,1
"17",36,6,18,0
"18",43,5,11,1
"18",40,8,12,0
"18",47,4,8,1
"18",44,7,9,0
"18",30,8,20,2
"18",42,8,10,0
"18",45,5,10,0
"19",43,6,10,1
"19",38,9,12,1
"19",48,5,7,0
"19",46,8,6,0
"19",38,9,12,1
"19",36,8,15,1
"19",49,5,6,0
"20",45,6,8,1
"20",43,6,10,1
"20",46,5,8,1
"20",46,6,8,0
"20",37,7,16,0
"20",37,7,15,1
"20",47,5,7,1
"21",51,3,5,1
"21",48,4,8,0
"21",48,4,8,0
"21",47,6,6,1
"21",39,6,15,0
"21",47,3,9,1
"21",54,3,3,0
"22",52,2,5,1
"22",51,3,6,0
"22",52,4,4,0
"22",44,6,9,1
"22",45,5,9,1
"22",49,4,6,1
"22",55,2,3,0
"23",55,1,3,1
"23",56,2,2,0
"23",57,1,1,1
"23",55,3,2,0
"23",56,1,2,1
"23",49,4,6,1
"23",58,0,1,1
